CAS Number,Compound Name
67730-11-4,"2-Amino-6-methyldipyrido[1,2-a:3',2'-d]imidazole"
491-35-0,4-methylquinoline
91-62-3,6-methylquinoline
611-32-5,8-methylquinoline
148-24-3,8-hydroxyquinoline
612-60-2,6(or 7)-methylquinoline
27601-00-9,3(or 4)-methylquinoline
64828-52-0,3-propylquinoline
74808-78-9,4-butylquinoline
1198-37-4,"2,4-dimethylquinoline"
1721-89-7,"2,3-dimethylquinoline"
877-43-0,"2,6-dimethylquinoline"
13362-80-6,"4,8-dimethylquinoline"
2721-59-7,2-hydroxy-3-methylquinoline
461-72-3,"2,4-imidazolidinedione (=hydantoin)"
24039-08-5,"1,3-dimethyl-2,4-imidazolidinedione"
71300-02-2,"3-ethyl-1-methyl-2,4-imidazolidinedione"
110-85-0,piperazine
109-01-3,1-methylpiperazine
109-07-9,2-methylpiperazine
25155-35-5,dimethylpiperazine (unkn.str.)
106-55-8,"2,5-dimethylpiperazine"
2815-34-1,"trans-2,5-dimethylpiperazine"
106-58-1,"N,N-dimethylpiperazine"
290-37-9,pyrazine
51677-41-9,"2-azido-2,3,3-trimethylbutane"
109-08-0,methylpyrazine
13925-00-3,ethylpyrazine (=2-ethylpyrazine)
4177-16-6,vinylpyrazine
18138-03-9,propylpyrazine
29460-90-0,isopropylpyrazine
34413-32-6,(1-propenyl)pyrazine
,(E-1-propenyl)pyrazine
43039-96-9,allylpyrazine
38713-41-6,isopropenylpyrazine
29460-91-1,butylpyrazine
29460-92-2,2-(2-methylpropyl)pyrazine
124070-52-6,2-secbutylpyrazine
6303-75-9,pentylpyrazine
40790-22-5,isopentylpyrazine
28217-91-6,hexylpyrazine
110823-72-8,octylpyrazine
113685-78-2,decylpyrazine
32736-95-1,(2-furyl)pyrazine
5910-89-4,"2,3-dimethylpyrazine"
123-32-0,"2,5-dimethylpyrazine"
108-50-9,"2,6-dimethylpyrazine"
36731-40-5,"2,5(or 6)-dimethylpyrazine"
25704-73-8,dimethylpyrazine (unkn.str.)
15707-23-0,2-ethyl-3-methylpyrazine
13360-64-0,2-ethyl-5-methylpyrazine
13925-03-6,2-ethyl-6-methylpyrazine
36731-41-6,2-ethyl-5(or 6)-methylpyrazine
33504-66-4,ethyl-methylpyrazine (unkn.str.)
25058-19-9,2-methyl-3-vinylpyrazine
13925-08-1,2-methyl-5-vinylpyrazine
13925-09-2,2-methyl-6-vinylpyrazine
35239-43-1,2-methyl-5(or 6)-vinylpyrazine
15986-80-8,2-methyl-3-propylpyrazine
29461-03-8,2-methyl-5-propylpyrazine
29444-46-0,2-methyl-6-propylpyrazine
80840-35-3,methyl-propylpyrazine (unkn.str.)
15986-81-9,2-isopropyl-3-methylpyrazine
13925-05-8,2-isopropyl-5-methylpyrazine
24541-74-0,2-isopropyl-6-methylpyrazine
110516-62-6,isopropyl-methylpyrazine (unkn.str.)
18217-82-8,2-methyl-5-(1-propenyl)pyrazine
104638-11-1,2-methyl-6-(1-propenyl)pyrazine
108338-91-6,2-methyl-5(or 6)-(1-propenyl)pyrazine
,methyl-propenylpyrazine (unkn.str.)
80840-36-4,isopropenyl-methylpyrazine (unkn.str.)
15987-00-5,2-butyl-3-methylpyrazine
29461-04-9,2-butyl-5-methylpyrazine
32184-46-6,2-butyl-6-methylpyrazine
106100-48-5,butyl-methylpyrazine (unkn.str.)
13925-06-9,2-isobutyl-3-methylpyrazine
29461-05-0,2-isobutyl-5-methylpyrazine
32184-48-8,2-isobutyl-6-methylpyrazine
,2-isobutenyl-3-methylpyrazine
,2-methyl-3-(2-methylbutyl)pyrazine
159664-01-4,2-methyl-6-(2-methylbutyl)pyrazine
15987-02-7,2-methyl-3-pentylpyrazine
32737-07-8,2-methyl-5-pentylpyrazine
97485-50-2,pentyl-methylpyrazine (unkn.str.)
32737-06-7,2-isopentyl-3-methylpyrazine
