CAS Number,Compound Name
536-60-7,"4-isopropylbenzyl alcohol (=cumic alcohol, p-cymen-7-ol)"
16308-92-2,"2,4-dimethylbenzyl alcohol"
623-05-2,4-hydroxybenzyl alcohol
76054-46-1,trimethylbenzyl alcohol (unkn.str.)
612-16-8,2-methoxybenzyl alcohol
6971-51-3,3-methoxybenzyl alcohol
105-13-5,4-methoxybenzyl alcohol (=anis alcohol)
705-76-0,"3,5-dimethoxybenzyl alcohol"
66498-33-7,4-isopropyl-3-methoxybenzyl alcohol
498-00-0,4-hydroxy-3-methoxybenzyl alcohol (=vanillin alcohol)
98-85-1,1-phenylethanol (=α-methylbenzyl alcohol)
589-18-4,4-methylbenzyl alcohol
60-12-8,2-phenylethanol
699-02-5,2-(4-methylphenyl)ethanol
54518-11-5,"Benzeneethanol, alpha-methyl-3-(1-methylethyl)-"
5381-92-0,α-(phenylmethyl)-benzeneethanol
7768-28-7,2-(2-hydroxyphenyl)ethanol
501-94-0,2-(4-hydroxyphenyl)ethanol (=tyrosol)
10597-60-1,"2-(3,4-dihydroxyphenyl)ethanol (=hydroxytyrosol)"
702-23-8,2-(4-methoxyphenyl)ethanol
,2-(4-hydroxy-methoxyphenyl)ethanol (unkn.str.)
2380-78-1,2-(4-hydroxy-3-methoxyphenyl)ethanol (=homovanillyl alcohol)
,dimethylphenylethanol (unkn.str.)
100303-82-0,1-methoxy-2-phenylethanol
35811-99-5,"1,2-bis(1-cyclohexenyl)-1,2-ethanediol"
93-54-9,1-phenyl-1-propanol
122-97-4,"3-phenyl-1-propanol (=benzenepropanol, dihydrocinnamic alcohol)"
56052-48-3,"2-methoxy-α,α-dimethylbenzenepropanol"
617-94-7,2-phenyl-2-propanol
93842-54-7,phenylpropanol
136167-44-7,3-(2-methoxyphenoxy-)-1-propanol (=guaiacylpropanol)
104-54-1,"3-phenyl-2-propen-1-ol (=cinnamyl alcohol, cinnamic alcohol)"
4510-34-3,(Z)-3-phenyl-2-propen-1-ol (=(Z)-cinnamyl alcohol)
4407-36-7,(E)-3-phenyl-2-propen-1-ol (=(E)-cinnamyl alcohol)
5349-60-0,1-(4-methoxyphenyl)-1-propanol
,p-cymen-4-ol (unkn.str.)
1197-01-9,"p-cymen-8-ol (=α,α,p-trimethylbenzyl alcohol)"
4371-50-0,p-cymen-9-ol
,p-cymenol (unkn.str.)
5208-37-7,m-cymen-8-ol
,cymen-8-ol (unkn.str.)
32713-30-7,cymenol (unkn.str.)
100-86-7,2-methyl-1-phenyl-2-propanol
146830-08-2,"1-methoxy-1-(2,4,5-trimethoxy-phenyl)-2-propanol"
